lat,lon,timestamp,user_id
37.78512,-122.40057,2008/06/08 07:36:07,1
37.79542,-122.40297,2008/06/08 07:29:25,1
37.79659,-122.40518,2008/06/08 07:28:26,1
37.80007,-122.40999,2008/06/08 07:25:08,1
37.80348,-122.41478,2008/06/08 07:16:42,2
37.80164,-122.41206,2008/06/08 07:14:47,2
37.7979,-122.40657,2008/06/08 07:12:41,2
37.79831,-122.40201,2008/06/08 07:11:55,2
37.79018,-122.40008,2008/06/08 07:59:35,3
37.78666,-122.41246,2008/06/08 07:01:37,4
37.78941,-122.41401,2008/06/08 07:00:37,4
37.80922,-122.25007,2008/06/08 07:05:50,5
37.80921,-122.25006,2008/06/08 07:04:50,5
37.80919,-122.25005,2008/06/08 07:03:49,5
37.80922,-122.25009,2008/06/08 07:02:49,5
37.80917,-122.25016,2008/06/08 07:01:48,5
37.80908,-122.2502,2008/06/08 07:00:51,5
37.78975,-122.40549,2008/06/08 07:38:33,6
37.7856,-122.40136,2008/06/08 07:37:36,6
37.7832,-122.39827,2008/06/08 07:36:33,6
37.77783,-122.39203,2008/06/08 07:35:27,6
37.77103,-122.39785,2008/06/08 07:34:20,6
37.7582,-122.39227,2008/06/08 07:33:29,6
37.73144,-122.40415,2008/06/08 07:31:37,6
37.71798,-122.39908,2008/06/08 07:30:49,6
37.67798,-122.38833,2008/06/08 07:28:24,6
37.61636,-122.38814,2008/06/08 07:23:28,6
37.79193,-122.43427,2008/06/08 07:58:39,7
37.78904,-122.4338,2008/06/08 07:57:41,7
37.78887,-122.43413,2008/06/08 07:56:51,8
37.78724,-122.44013,2008/06/08 07:55:41,8
37.78804,-122.43305,2008/06/08 07:54:35,8
37.7927,-122.42611,2008/06/08 07:52:34,8
37.79387,-122.424,2008/06/08 07:51:33,8
37.7929,-122.42295,2008/06/08 07:50:33,8
37.79095,-122.42245,2008/06/08 07:49:33,8
37.78771,-122.42024,2008/06/08 07:47:36,9
37.78893,-122.42042,2008/06/08 07:46:48,9
37.79075,-122.42095,2008/06/08 07:45:48,9
37.79557,-122.42177,2008/06/08 07:44:53,9
37.79567,-122.42197,2008/06/08 07:44:17,10
37.79595,-122.4223,2008/06/08 07:43:17,10
37.7959,-122.42342,2008/06/08 07:42:17,10
37.80051,-122.42444,2008/06/08 07:41:27,10
37.80078,-122.42818,2008/06/08 07:40:17,10
37.80005,-122.43425,2008/06/08 07:39:21,10
37.80064,-122.43776,2008/06/08 07:38:25,10
37.79979,-122.43428,2008/06/08 07:37:02,11
37.79897,-122.43418,2008/06/08 07:36:24,11
37.79559,-122.43332,2008/06/08 07:35:11,11
37.79183,-122.43266,2008/06/08 07:34:16,11
37.78902,-122.43371,2008/06/08 07:33:24,11
37.79012,-122.43054,2008/06/08 07:31:56,12
37.79297,-122.43155,2008/06/08 07:31:15,12
37.79458,-122.4318,2008/06/08 07:30:59,12
37.79567,-122.43195,2008/06/08 07:30:32,13
37.79773,-122.4309,2008/06/08 07:29:16,13
37.79853,-122.42528,2008/06/08 07:27:16,13
37.79869,-122.4235,2008/06/08 07:26:21,13
37.79978,-122.41745,2008/06/08 07:25:16,13
37.80037,-122.41051,2008/06/08 07:24:15,13
37.79933,-122.40732,2008/06/08 07:22:34,14
37.79826,-122.40707,2008/06/08 07:21:38,14
37.79767,-122.40565,2008/06/08 07:20:40,14
37.79639,-122.40518,2008/06/08 07:19:38,14
37.78764,-122.40312,2008/06/08 07:18:36,14
37.78702,-122.40256,2008/06/08 07:17:36,14
37.78621,-122.40191,2008/06/08 07:17:27,14
37.78559,-122.39756,2008/06/08 07:16:18,14
37.78758,-122.39845,2008/06/08 07:15:13,14
37.7857,-122.39692,2008/06/08 07:14:22,14
37.78201,-122.3922,2008/06/08 07:12:26,14
37.77897,-122.39551,2008/06/08 07:10:39,15
37.77978,-122.39842,2008/06/08 07:09:29,15
37.78103,-122.40255,2008/06/08 07:08:28,15
37.77642,-122.40856,2008/06/08 07:07:28,15
37.77314,-122.41321,2008/06/08 07:06:33,15
37.77635,-122.4197,2008/06/08 07:05:50,15
37.77485,-122.4235,2008/06/08 07:04:29,15
37.7746,-122.42463,2008/06/08 07:03:27,15
37.77373,-122.43351,2008/06/08 07:02:28,15
37.61504,-122.39018,2008/06/08 07:59:59,16
37.78813,-122.39667,2008/06/08 07:30:50,17
37.79129,-122.39875,2008/06/08 07:29:49,17
37.79675,-122.40021,2008/06/08 07:28:53,17
37.79852,-122.40127,2008/06/08 07:27:42,17
37.79806,-122.40585,2008/06/08 07:26:42,17
37.79728,-122.41076,2008/06/08 07:25:41,17
37.79596,-122.4201,2008/06/08 07:24:41,17
37.79481,-122.42148,2008/06/08 07:23:45,17
37.78829,-122.40898,2008/06/08 07:16:36,18
37.78816,-122.4104,2008/06/08 07:15:46,18
37.78724,-122.41131,2008/06/08 07:14:33,18
37.78723,-122.40955,2008/06/08 07:12:43,18
37.78778,-122.40507,2008/06/08 07:11:32,18
37.78715,-122.40275,2008/06/08 07:10:37,18
37.78453,-122.39995,2008/06/08 07:09:42,18
37.77968,-122.39378,2008/06/08 07:08:32,18
37.7795,-122.39359,2008/06/08 07:07:34,18
37.77679,-122.39335,2008/06/08 07:06:36,18
37.7693,-122.39746,2008/06/08 07:05:26,18
37.75621,-122.39218,2008/06/08 07:04:36,18
37.74305,-122.39598,2008/06/08 07:03:49,18
37.72954,-122.40319,2008/06/08 07:02:45,18
37.71605,-122.39851,2008/06/08 07:02:16,18
37.70314,-122.39376,2008/06/08 07:01:11,18
37.68954,-122.39069,2008/06/08 07:00:22,18
37.78302,-122.41525,2008/06/08 07:55:55,19
37.78364,-122.41643,2008/06/08 07:55:14,19
37.78708,-122.41695,2008/06/08 07:54:21,19
37.79004,-122.41743,2008/06/08 07:53:12,19
37.79058,-122.42087,2008/06/08 07:52:11,19
37.79078,-122.4112,2008/06/08 07:44:55,20
37.79225,-122.41072,2008/06/08 07:43:50,20
37.79249,-122.41066,2008/06/08 07:43:29,21
37.79296,-122.40909,2008/06/08 07:42:30,21
