lon,lat,timestamp,trajectory_id,user_id
-122.39876,37.78382,2008/06/08 20:41:17,7,1
-122.39482,37.78711,2008/06/08 20:42:17,7,1
-122.39231,37.789,2008/06/08 20:43:17,7,1
-122.39017,37.79052,2008/06/08 20:44:17,7,1
-122.39089,37.79254,2008/06/08 20:45:17,7,1
-122.39388,37.79458,2008/06/08 20:46:17,7,1
-122.3948,37.79542,2008/06/08 20:47:17,7,1
-122.3948,37.79542,2008/06/08 20:47:32,7,1
-122.39868,37.80095,2008/06/08 20:52:59,7,1
-122.39652,37.79732,2008/06/08 20:54:16,7,1
-122.39456,37.79516,2008/06/08 20:55:02,7,1
-122.38879,37.78957,2008/06/08 20:55:48,7,1
-122.43372,37.78871,2008/06/08 21:09:27,7,1
-122.4338,37.78903,2008/06/08 21:10:27,7,1
-122.43323,37.78992,2008/06/08 21:11:28,7,1
-122.43178,37.79062,2008/06/08 21:12:28,7,1
-122.39471,37.78016,2008/06/08 19:43:16,10,1
-122.39802,37.78299,2008/06/08 19:44:12,10,1
-122.40283,37.78557,2008/06/08 19:45:12,10,1
-122.40864,37.78104,2008/06/08 19:46:12,10,1
-122.41099,37.77922,2008/06/08 19:47:12,10,1
-122.41769,37.77402,2008/06/08 19:48:12,10,1
-122.419,37.77289,2008/06/08 19:49:12,10,1
-122.43467,37.76445,2008/06/08 19:55:58,10,1
-122.43557,37.76674,2008/06/08 19:56:58,10,1
-122.43683,37.7707,2008/06/08 19:58:17,10,1
-122.44328,37.77035,2008/06/08 19:59:17,10,1
-122.44456,37.77072,2008/06/08 20:00:51,10,1
-122.42743,37.75154,2008/06/08 10:03:33,14,1
-122.42797,37.75694,2008/06/08 10:04:21,14,1
-122.42837,37.76117,2008/06/08 10:05:22,14,1
-122.43094,37.76461,2008/06/08 10:07:05,14,1
-122.43125,37.76588,2008/06/08 10:08:02,14,1
-122.43588,37.76716,2008/06/08 10:09:02,14,1
-122.43702,37.76996,2008/06/08 10:10:02,14,1
-122.43708,37.77095,2008/06/08 10:11:02,14,1
-122.43799,37.77306,2008/06/08 10:12:19,14,1
-122.44551,37.77287,2008/06/08 10:13:02,14,1
-122.44712,37.78306,2008/06/08 10:15:14,14,1
-122.44639,37.78516,2008/06/08 10:16:21,14,1
-122.44656,37.78704,2008/06/08 10:18:07,14,1
-122.44731,37.79031,2008/06/08 10:19:11,14,1
-122.45198,37.79519,2008/06/08 10:20:09,14,1
-122.45398,37.79735,2008/06/08 10:21:09,14,1
-122.45561,37.79384,2008/06/08 10:22:59,14,1
-122.41411,37.80679,2008/06/08 09:35:38,16,1
-122.41367,37.80552,2008/06/08 09:36:17,16,1
-122.41094,37.79986,2008/06/08 09:38:13,16,1
-122.41038,37.79745,2008/06/08 09:39:13,16,1
-122.40981,37.79458,2008/06/08 09:40:29,16,1
-122.40936,37.79096,2008/06/08 09:41:13,16,1
-122.40992,37.78626,2008/06/08 09:43:15,16,1
-122.40855,37.78406,2008/06/08 09:44:13,16,1
-122.41163,37.77875,2008/06/08 09:46:24,16,1
-122.41466,37.77642,2008/06/08 09:47:21,16,1
-122.42035,37.77182,2008/06/08 09:49:23,16,1
-122.41985,37.76627,2008/06/08 09:50:14,16,1
-122.41947,37.7616,2008/06/08 09:51:20,16,1
-122.40576,37.754,2008/06/08 08:31:14,20,1
-122.40704,37.75471,2008/06/08 08:32:04,20,1
-122.40684,37.75703,2008/06/08 08:33:00,20,1
-122.40718,37.76222,2008/06/08 08:33:58,20,1
-122.40731,37.76443,2008/06/08 08:35:00,20,1
-122.40783,37.76946,2008/06/08 08:36:01,20,1
-122.39581,37.78128,2008/06/08 08:39:31,20,1
-122.40042,37.78454,2008/06/08 08:43:12,20,1
-122.40636,37.78785,2008/06/08 08:44:20,20,1
-122.40807,37.78752,2008/06/08 08:45:17,20,1
-122.40916,37.78707,2008/06/08 08:46:22,20,1
-122.40486,37.79512,2008/06/08 06:09:00,26,1
-122.4068,37.79496,2008/06/08 06:12:05,26,1
-122.40791,37.79497,2008/06/08 06:13:14,26,1
-122.40973,37.79444,2008/06/08 06:14:08,26,1
-122.40946,37.7932,2008/06/08 06:14:58,26,1
-122.41074,37.79179,2008/06/08 06:15:58,26,1
-122.41035,37.79166,2008/06/08 06:17:53,26,1
-122.40698,37.7923,2008/06/08 06:18:53,26,1
-122.40367,37.79221,2008/06/08 06:19:55,26,1
-122.39717,37.7936,2008/06/08 06:22:12,26,1
-122.39573,37.79394,2008/06/08 06:23:22,26,1
-122.38912,37.78988,2008/06/08 06:25:59,26,1
-122.3896,37.79077,2008/06/08 06:27:06,26,1
-122.41071,37.78566,2008/06/08 05:50:48,27,1
-122.40964,37.78591,2008/06/08 05:51:43,27,1
